academicdegree	Academic degree	Academic degree title	False	common	persons, science			Научная степень (на русском)	Научная степень персоны на русском языке. Например, кандидат технических наук	https://en.wikipedia.org/wiki/Academic_degree	wikipedia	rusdegree	russciencedegrees
address	Address (physical location)	Geographic address, commonly consist of postindex, country, area, town, street and building	True	common	common, pii, geo			Адрес (физическое местонахождение)	Географический или административный адрес местонахождения. Может включать почтовый индекс, название страны, региона, города, улицы и здания.	https://en.wikipedia.org/wiki/Address	wikipedia		rusaddressknown, addressknown, rusaddress, fraddressbyknown
age	Age	Age of the person or organization in years	True	common	datetime								
aircraftnumber	Aircraft/tail number	An aircraft registration, alternatively called a tail number[citation needed], is a code unique to a single aircraft, required by international convention to be marked on the exterior of every civil aircraft.	False	common	objectids					https://en.wikipedia.org/wiki/Aircraft_registration	wikipedia		
airport	Airport location identifier	A location identifier is a symbolic representation for the name and the location of an airport, navigation aid, or weather station, and is used for staffed air traffic control facilities in air traffic control, telecommunications, computer programming, weather reports, and related services. 	False	common	geo					https://en.wikipedia.org/wiki/Location_identifier	wikipedia	icaocode, iatacode, faalid	
atccode	Anatomical Therapeutic Chemical (ATC) Classification System	The Anatomical Therapeutic Chemical (ATC) Classification System is a drug classification system that classifies the active ingredients of drugs according to the organ or system on which they act and their therapeutic, pharmacological and chemical properties. Its purpose is an aid to monitor drug use and for research to improve quality medication use. It does not imply drug recommendation or efficacy.	False	common	medical			Анатомо-терапевтическо-химическая классификация (АТХ)	Анатомо-терапевтическо-химическая классификация — международная система классификации лекарственных средств.	https://en.wikipedia.org/wiki/Anatomical_Therapeutic_Chemical_Classification_System	wikipedia		rumedicineatcbyknown
bankaccount	Bank account	A bank account is a financial account maintained by a bank or other financial institution in which the financial transactions between the bank and a customer are recorded.	False	common	finances			Банковский счет	Банковский счёт — счёт, открываемый банком юридическим или физическим лицам для их участия в безналичном денежном обороте и аккумулировании на счёте безналичных денежных средств для целевого использования.	https://en.wikipedia.org/wiki/Bank_account	wikipedia	rubankaccount, rusbankaccount	rusbankaccountpat, rusbankaccount
bankcard	Bank card (credit/debit card)	A bank card is typically a plastic card issued by a bank to its clients that performs one or more of a number of services that relate to giving the client access to bank account.	True	common	pii, finances			Банковская карта	Ба́нковская ка́рта (англ. bank card) — пластиковая, металлическая или виртуальная карта, обычно привязанная к одному или нескольким расчётным счетам в банке.	https://en.wikipedia.org/wiki/Bank_card	wikipedia		creditcardbyknown
bik	Russian bank identification code (BIK)	Russian bank identification code used as unique identifier of a credit organization (bank) and issued by Bank of Russia	False	ru	finances	RU		Банковский идентификационный код	Банковский идентификационный код, БИК — уникальный идентификатор банка, используемый в платежных документах (платёжное поручение, аккредитив) на территории России. Классификатор БИКов ведёт Центробанк РФ (Банк России).	https://ru.wikipedia.org/wiki/Банковский_идентификационный_код	wikipedia		russianbikcode, bikcodepat
bip32addr	BIP-32 key	The BIP-32 mainly describes the way of building the hierarchical deterministic wallet basing on the BIP-39 features. What does it mean? BIP-32 is exactly explaining how the bitcoin master private key and the master chain code is being created from delivered by BIP-39 bitcoin seed. The bitcoin seed generated by BIP-39 is the base for generating deterministic and hierarchical deterministic wallets.	False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
birthday	Birthday	A birthday is the anniversary of the birth of a person, or figuratively of an institution. Birthdays of people are celebrated in numerous cultures, often with birthday gifts, birthday cards, a birthday party, or a rite of passage.	True	common	pii, datetime		date	День рождения	День рождения — годовщина рождения, соответствует дате рождения человека. 	https://en.wikipedia.org/wiki/Birthday	wikipedia		rubirthdayknown
